,ano,mes,sigla_uf,tipo_consumo,numero_consumidores,consumo
622,2004,12,SE,Cativo,,178045
623,2004,12,ES,Cativo,,477636
624,2004,12,RN,Cativo,,289011
625,2004,12,SP,Cativo,,6949221
626,2004,12,AM,Cativo,,321545
627,2004,12,PA,Cativo,,536063
628,2004,12,CE,Cativo,,575617
629,2004,12,RS,Cativo,,1756389
630,2004,12,PB,Cativo,,241035
631,2004,12,MS,Cativo,,264442
632,2004,12,RJ,Cativo,,2303692
633,2004,12,MT,Cativo,,320353
634,2004,12,PE,Cativo,,693653
635,2004,12,SC,Cativo,,1158418
636,2004,12,RR,Cativo,,34181
637,2004,12,DF,Cativo,,310315
638,2004,12,BA,Cativo,,1396882
639,2004,12,GO,Cativo,,641850
640,2004,12,MA,Cativo,,248347
641,2004,12,PR,Cativo,,1448839
642,2004,12,MG,Cativo,,2669146
643,2004,12,AL,Cativo,,296464
644,2004,12,AP,Cativo,,46518
645,2004,12,AC,Cativo,,36879
646,2004,12,RO,Cativo,,116378
647,2004,12,TO,Cativo,,74505
648,2004,1,RN,Outros,40857.0,69617
649,2004,1,SP,Outros,311650.0,937538
650,2004,1,MS,Outros,56881.0,67601
651,2004,1,SC,Outros,226165.0,209380
652,2004,1,RJ,Outros,70634.0,416128
653,2004,1,TO,Outros,21884.0,19993
654,2004,1,CE,Outros,279048.0,118826
655,2004,1,MG,Outros,472339.0,375155
656,2004,1,BA,Outros,212682.0,215666
657,2004,1,PA,Outros,26732.0,75448
658,2004,1,PE,Outros,153387.0,129796
659,2004,1,AL,Outros,14543.0,48286
660,2004,1,PI,Outros,33299.0,35075
661,2004,1,RR,Outros,4827.0,8262
662,2004,1,AP,Outros,2184.0,5939
663,2004,1,RS,Outros,306617.0,394582
664,2004,1,AM,Outros,10118.0,47019
665,2004,1,SE,Outros,17164.0,35046
666,2004,1,RO,Outros,57402.0,25659
667,2004,1,PR,Outros,365859.0,258662
668,2004,1,MA,Outros,53151.0,49767
669,2004,1,GO,Outros,140452.0,127096
670,2004,1,AC,Outros,9943.0,9428
671,2004,1,ES,Outros,122075.0,78392
672,2004,1,MT,Outros,62843.0,60445
673,2004,1,DF,Outros,11952.0,73881
674,2004,1,PB,Outros,71664.0,51293
675,2004,2,CE,Outros,280795.0,99069
676,2004,2,PB,Outros,72098.0,45369
677,2004,2,MT,Outros,63261.0,59898
678,2004,2,MA,Outros,53812.0,46753
679,2004,2,PI,Outros,33320.0,30987
680,2004,2,PE,Outros,153009.0,112712
681,2004,2,PA,Outros,29030.0,78653
682,2004,2,ES,Outros,122491.0,74526
683,2004,2,RS,Outros,310737.0,427055
684,2004,2,RO,Outros,57865.0,25126
685,2004,2,SE,Outros,17247.0,32032
686,2004,2,PR,Outros,366311.0,268464
687,2004,2,MS,Outros,56949.0,70722
688,2004,2,RN,Outros,40881.0,54005
689,2004,2,AC,Outros,10041.0,9189
690,2004,2,SP,Outros,313264.0,875586
691,2004,2,GO,Outros,140932.0,119973
692,2004,2,MG,Outros,479294.0,339603
693,2004,2,SC,Outros,226788.0,206976
694,2004,2,RR,Outros,4864.0,8588
695,2004,2,AL,Outros,18412.0,44895
696,2004,2,AP,Outros,1710.0,10202
697,2004,2,DF,Outros,11930.0,70518
698,2004,2,TO,Outros,22324.0,19893
699,2004,2,RJ,Outros,70895.0,431867
700,2004,2,BA,Outros,213099.0,180930
701,2004,2,AM,Outros,10063.0,46640
702,2004,3,MT,Outros,63714.0,67258
703,2004,3,TO,Outros,22474.0,20075
704,2004,3,RO,Outros,58527.0,23565
705,2004,3,RR,Outros,4881.0,8640
706,2004,3,PA,Outros,27232.0,71905
707,2004,3,SE,Outros,17088.0,34737
708,2004,3,RN,Outros,40891.0,56579
709,2004,3,CE,Outros,213213.0,100492
710,2004,3,PE,Outros,152471.0,127433
711,2004,3,AM,Outros,10124.0,46204
712,2004,3,MA,Outros,54270.0,49481
713,2004,3,RS,Outros,309474.0,419335
714,2004,3,PB,Outros,72472.0,46770
715,2004,3,ES,Outros,122872.0,73459
716,2004,3,MS,Outros,57071.0,70091
717,2004,3,GO,Outros,141164.0,118531
718,2004,3,RJ,Outros,71021.0,411399
719,2004,3,PR,Outros,367185.0,271528
720,2004,3,PI,Outros,33259.0,31051
721,2004,3,SC,Outros,227419.0,212391
722,2004,3,AL,Outros,17018.0,41702
723,2004,3,BA,Outros,214104.0,179779
724,2004,3,SP,Outros,314566.0,964620
725,2004,3,AC,Outros,10080.0,9586
726,2004,3,DF,Outros,12159.0,70051
727,2004,3,AP,Outros,2457.0,10318
728,2004,3,MG,Outros,481324.0,334727
729,2004,4,BA,Outros,214449.0,188967
730,2004,4,RS,Outros,313308.0,352188
731,2004,4,CE,Outros,206099.0,103864
732,2004,4,SE,Outros,17449.0,35773
733,2004,4,RO,Outros,59431.0,24884
734,2004,4,SP,Outros,314687.0,960806
735,2004,4,PA,Outros,29320.0,80899
